name	node_type:LABEL	node_id:ID
David Baddiel	writer	3e686aa96bf66b823527feb43b65ac6a
Igal Naor	actor	f080435fae41a8e128b64ddb41be197f
Omid Djalili	actor	eda5debd2cc23c6adf68af95a8889b13
omid djalili	tag	90cb490652e73ae2646f796fb0d57090
The Dark Side of the Sun	movie	1ab67e4085d99e3bbf351c12f3c368c0
Dr. Dolittle 3	movie	4fccb071b432ce37597b95ca2375f406
Kyla Pratt	actor	f3e63701509861c2b84ced60a5f7d43d
Kristen Wilson	actor	efb9bc7b50d2999525eb25f3a43374ce
The Black Rose	movie	5f170e6e086dc6530d87e4a243347148
Yves Montand	actor	5f7d271b9e81d761bb71b1e67c5117ff
Talbot Jennings	writer	1f361d7298794a426c03f4540594743a
Thomas B. Costain	writer	f849f2cd9350fcdc3ef43ed78d503014
Natural Born Killers	movie	7ce4a7ea9844614b185a97e49e325370
Richard Rutowski	writer	c93995efd6aa574458e0b0e66f937977
media	tag	b1d437e78d64fb158dd3486e09df1294
The Spy Who Came in from the Cold	movie	44f62e8d89e0572c56b46e08ecaccc01
Twin Sitters	movie	53cac9101743b21201d297fb60ba26a2
John Paragon	writer|director	66a9a336a472c379b8fd7a96696b02ee
Joseph Cousins	actor	0d4a35f4b093e3a67b0e12445068af85
Peter Paul	actor	b363164b088b2900f8ba98cb2447650a
racing	tag	47dd615cd98d5ce7f1b29481d1d847ed
David Paul	actor	48a180cfe144747d5eb301c43a053737
Ulzana's Raid	movie	a45477fac3da9656e4a374387a50d6d8
Alan Sharp	writer	56d668c35a85afd19ff4b14100c5a6e3
Richard Jaeckel	actor	2354392969622ed29439997111b104d9
Marked Woman	movie	59a230a4b6b83ddf1b525adfdc0ee54f
Lola Lane	actor	2eea19883666238fcdf796c421f9269b
Water	movie	97c7b73dc3fe34063543d7ad8e021a4c
Sarala Kariyawasam	actor	6ff715f1ac6a0b4bce0538d85b7fec06
deepa mehta	tag	4ec594fcaeb84d361b26b4d294f7a37e
The Undefeated	movie	6c7579424b43549885710385b3854c86
john frankenheimer	tag	c11a4b6e619aeb46079e2b5414818bd1
Life or Something Like It	movie	53f50109110322b060c40aa03931ef55
The Warrior and the Sorceress	movie	d600f6be7f912a4b8212963153d6ee54
John C. Broderick	writer|director	6f1bc5a15a6b1e6d8fac1236964fb8bc
William Stout	writer	d83906f41dce6a216c3027974422208e
Luke Askew	actor	be1707c302be2bfd596c5a85bc5b5cdb
Le Plaisir	movie	f5132e15e92295f2d9b1e45cec5f8fef
max ophüls	tag	537d614fd23c1d3b6622b31fe69f0cd6
Small Change	movie	74a73e38f7966f3bbe73d1ce8c978210
The Deep End	movie	5c790f115f86491530a7ba2a9c407873
Scott McGehee	writer|director	5558ad34989b2093d67d12185f3b2f5d
super panavision 70	tag	81d65b133ceaf015a947affd270c4280
