src:START_ID	dst:END_ID	relationship:TYPE	source
c7bf5324ac061ddbe17eeb18ced74c88	50a400fd280caef93be9e3e650c71eb0	directed_by	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	c3e585b68314044cf350758670a93698	written_by	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	c61d44a96536d99c2aa2658578ee05f3	starred_actors	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	5c478e75540fe4fe5f3ccaf7d60860dd	starred_actors	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	c586c4210ef662210fb913131a739ca6	starred_actors	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	fc0d12ae613d2d21d687f2c1eca69ec1	starred_actors	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	494a30ffd0d1c4fc50551dcface3aebf	release_year	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	50e2674bd903a3f29b4ac3bc1ad86a21	in_language	metaqa
c7bf5324ac061ddbe17eeb18ced74c88	df44ee4841a0f1d42d64c46ad03a3451	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	36deda9385187dec11c2cdd34d02c23b	directed_by	metaqa
047723159aff5ac5df45a35668227fe7	4231f16d30a2394d228bf2e7bb2a5524	written_by	metaqa
047723159aff5ac5df45a35668227fe7	4a3337c02f4e806e5f5cfcc99bd8ac46	written_by	metaqa
047723159aff5ac5df45a35668227fe7	2fe41cba2fff2dde59989161c40a2b7c	written_by	metaqa
047723159aff5ac5df45a35668227fe7	d3b72851ac9836358916a069dbc94ff7	release_year	metaqa
047723159aff5ac5df45a35668227fe7	906c7f2650bd0cb4d11f6d04cfd4732c	has_genre	metaqa
047723159aff5ac5df45a35668227fe7	49a32fa82281efae7db7ff84894ed6fb	has_imdb_votes	metaqa
047723159aff5ac5df45a35668227fe7	6c62becdbc5c3d74effa86291e5e0f54	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	b227de50d9a4cf4410e467302dffcf25	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	5cecf5f0004a012fa4a0ad0d037baf7f	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	392f3c609189f8f730dbd35bac5f653f	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	f98d16905a75c0df8ba02a8c419a03ea	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	5a240d988850f6bc4e9353a1979ff6f2	has_tags	metaqa
047723159aff5ac5df45a35668227fe7	318d99e41918aefe8aee508d1b079ecf	has_tags	metaqa
d5d780bfb7f73a9eb4ed4b34002a9efa	a5745eafb79878b5f0944355e2556987	directed_by	metaqa
