src:START_ID	dst:END_ID	relationship:TYPE	source
96e1dbf95b098043b640fbd3dc1b3910	e3736939e69e899d65cd5b650bd486d6	starred_actors	metaqa
96e1dbf95b098043b640fbd3dc1b3910	8f0430a6804fceccbe11f322b46e6ee4	starred_actors	metaqa
96e1dbf95b098043b640fbd3dc1b3910	c5d6dccffd5f74212b09cfeb3b063a77	release_year	metaqa
96e1dbf95b098043b640fbd3dc1b3910	2621d150ea27e4b188769194cf6d19d4	has_genre	metaqa
96e1dbf95b098043b640fbd3dc1b3910	698c0c7204cafaa01d5f8173e3066cb7	has_tags	metaqa
96e1dbf95b098043b640fbd3dc1b3910	34cc159172bb53ba71a169e80ddc9fbd	has_tags	metaqa
96e1dbf95b098043b640fbd3dc1b3910	6f9a97ba4c0d4441c1b91b9ab0b597ce	has_tags	metaqa
c5540991909e3363fc9e0fc4258fb559	a35019571846b71889adb6f76026fe00	directed_by	metaqa
c5540991909e3363fc9e0fc4258fb559	e97237d948ce0f6cf8e8557a2b049f34	release_year	metaqa
c5540991909e3363fc9e0fc4258fb559	0d0bc99a1751c53998b6ccf36de62265	in_language	metaqa
c5540991909e3363fc9e0fc4258fb559	eba518aaa46a4bc0ef3eaffc2a0863e0	has_genre	metaqa
40766e5f74d86f835160a4b343a389bb	320eeb3f0d24a7362140dc50c2aa66a5	starred_actors	metaqa
40766e5f74d86f835160a4b343a389bb	48efd0946c9a8c81b5ee3bd7a36210a1	starred_actors	metaqa
40766e5f74d86f835160a4b343a389bb	8aa921babef9303fec3d95b9099ede9a	release_year	metaqa
40766e5f74d86f835160a4b343a389bb	50e2674bd903a3f29b4ac3bc1ad86a21	in_language	metaqa
40766e5f74d86f835160a4b343a389bb	eba518aaa46a4bc0ef3eaffc2a0863e0	has_genre	metaqa
875bb990b7e36c00c9a342ce9ae8098c	4dbc42158714bf8ec280eb94d8ae9a9b	directed_by	metaqa
875bb990b7e36c00c9a342ce9ae8098c	4dbc42158714bf8ec280eb94d8ae9a9b	written_by	metaqa
875bb990b7e36c00c9a342ce9ae8098c	21b9390b2088cc35886ef8570b336036	release_year	metaqa
875bb990b7e36c00c9a342ce9ae8098c	2621d150ea27e4b188769194cf6d19d4	has_genre	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	c9361dd9123bbdd44830d21c1f5076cd	directed_by	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	3d746fbb8b063f474ba1e661179fdf66	starred_actors	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	80fc5792386321235ef9af522ead2a84	starred_actors	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	a019a2a0cdc590c15d787d8436ed174f	starred_actors	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	98d5a11cb458ea16113ab48cddcea3d0	starred_actors	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	4adb9b09a0093bccf98772cb9b3ceaec	release_year	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	dfe6cadf9e3c986d57574c0f54f2ec00	has_genre	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	8a095bf32dfcbd0b87a172df1dd4aa4a	has_genre	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	07b051c09e599aad3d72685af9e66861	has_genre	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	23404a76394e71087c4f2abf83c8cfbf	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	5cecf5f0004a012fa4a0ad0d037baf7f	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	98b3b58749f99b302868012d053369f6	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	af942e9d70f1c62110dacaac9ce87a15	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	7cdd0ec70a695d264b67124084bfc598	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	da689c6661be770f57ea24c3f156452c	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	7bdb4e11ee8254b4a382ca2ba2708939	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	a7bd2aa3709607595f96961f8d5e1f29	has_tags	metaqa
d16bb9e7dfe617f6c3c7891e58feddbd	8ac5dd60083bef4f1226d8ad99beb0a7	has_tags	metaqa
d443c50dda4b04bed9eabbd713c45f5e	df2be30d9cb24a478dab9d78c0da28c2	directed_by	metaqa
d443c50dda4b04bed9eabbd713c45f5e	df2be30d9cb24a478dab9d78c0da28c2	written_by	metaqa
d443c50dda4b04bed9eabbd713c45f5e	8aa921babef9303fec3d95b9099ede9a	release_year	metaqa
d443c50dda4b04bed9eabbd713c45f5e	8cacb712f92bf0bd1bf30acd793d675a	in_language	metaqa
d443c50dda4b04bed9eabbd713c45f5e	7acc2528c97c7c3ea822b910fe4fdbc0	has_tags	metaqa
d443c50dda4b04bed9eabbd713c45f5e	424eec254f443115bdaed33b3d3257c3	has_tags	metaqa
