src:START_ID	dst:END_ID	relationship:TYPE	source
a9af7951dc24212cd92b143bda9e00a2	7d2f5594fa40a4de81e1597752971452	written_by	metaqa
a9af7951dc24212cd92b143bda9e00a2	94f8b7c3828c0351c43fc1185533513f	release_year	metaqa
a9af7951dc24212cd92b143bda9e00a2	a21e42b04adfb32b4949409fd7615c6f	in_language	metaqa
a9af7951dc24212cd92b143bda9e00a2	3d1479732652fa1edfc43e3513da43da	has_tags	metaqa
8fde9bf2e44e4a872246d079a07c4802	a8a3d70b8c629cf037e32b53e55bb034	starred_actors	metaqa
8fde9bf2e44e4a872246d079a07c4802	d3b72851ac9836358916a069dbc94ff7	release_year	metaqa
8fde9bf2e44e4a872246d079a07c4802	06632354e6bc60c5aa40066278949ecf	has_genre	metaqa
1a95446e3a8d592036febf8a041bca41	ec8bb8c6b567de0197627aa2b0216dec	directed_by	metaqa
1a95446e3a8d592036febf8a041bca41	33dba66aa187c62555c727fd7336e951	starred_actors	metaqa
1a95446e3a8d592036febf8a041bca41	dc64bcab7df6ca9d9b3d69997ee567a8	release_year	metaqa
1a95446e3a8d592036febf8a041bca41	75d886942bea41d3fe4cecd93f369349	has_genre	metaqa
1a95446e3a8d592036febf8a041bca41	4478318a0069f0064ac38b54d9b02573	has_genre	metaqa
1a95446e3a8d592036febf8a041bca41	df44ee4841a0f1d42d64c46ad03a3451	has_tags	metaqa
bfd432ff4e06745348e659920b4d310c	4f119a83a11b484d8ba59d12082736ac	directed_by	metaqa
bfd432ff4e06745348e659920b4d310c	4f119a83a11b484d8ba59d12082736ac	written_by	metaqa
bfd432ff4e06745348e659920b4d310c	5b132862426fad298a1d37ba7968c9f1	written_by	metaqa
bfd432ff4e06745348e659920b4d310c	7366e4c5a4d51c8c282dedc96ccbf1d2	release_year	metaqa
bfd432ff4e06745348e659920b4d310c	0b202860c9c599965721e981a13bdcc1	in_language	metaqa
bfd432ff4e06745348e659920b4d310c	eba518aaa46a4bc0ef3eaffc2a0863e0	has_genre	metaqa
